epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1547.22,0.84013,1.97069,1.23562,0.54406,0.60233,0.62328,0.52403,0.61958,1.27797,1.11342,0.008581,0.008581,0.008581
45,1581.96,0.83623,1.94944,1.23202,0.57421,0.58251,0.63351,0.53673,0.60455,1.26522,1.10398,0.008548,0.008548,0.008548
46,1616.31,0.83174,1.94247,1.22448,0.56744,0.60048,0.63815,0.53975,0.60896,1.24819,1.10618,0.008515,0.008515,0.008515
47,1650.74,0.83361,1.92028,1.22871,0.58664,0.60501,0.65105,0.55224,0.60635,1.21543,1.108,0.008482,0.008482,0.008482
48,1684.97,0.82087,1.88137,1.21692,0.58683,0.61951,0.65698,0.55341,0.60718,1.20495,1.10726,0.008449,0.008449,0.008449
49,1719.64,0.83021,1.89289,1.22196,0.57861,0.61177,0.6609,0.55847,0.60411,1.20246,1.10329,0.008416,0.008416,0.008416
50,1753.86,0.82785,1.87098,1.22052,0.57413,0.62935,0.66186,0.56173,0.5991,1.18826,1.10111,0.008383,0.008383,0.008383
51,1788.4,0.82414,1.85714,1.21483,0.59657,0.6278,0.66982,0.56801,0.59715,1.16594,1.10174,0.00835,0.00835,0.00835
52,1822.64,0.82228,1.84779,1.21003,0.60244,0.64183,0.68402,0.58205,0.59511,1.14338,1.0978,0.008317,0.008317,0.008317
53,1856.94,0.81973,1.82936,1.21265,0.63384,0.61424,0.68916,0.58382,0.59295,1.14023,1.09805,0.008284,0.008284,0.008284
54,1891.72,0.817,1.79962,1.20302,0.61279,0.63527,0.68955,0.5827,0.59761,1.11815,1.0998,0.008251,0.008251,0.008251
55,1934.08,0.81264,1.79442,1.20463,0.64405,0.63335,0.69702,0.59172,0.59186,1.10904,1.09548,0.008218,0.008218,0.008218
56,1969.96,0.80955,1.76047,1.19889,0.6166,0.65928,0.70363,0.5964,0.59061,1.10067,1.094,0.008185,0.008185,0.008185
