epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1545.51,0.72933,1.36305,1.13401,0.74469,0.71345,0.79786,0.68723,0.55207,0.91596,1.06506,0.008581,0.008581,0.008581
45,1579.95,0.72261,1.35456,1.13188,0.72502,0.74072,0.80126,0.69295,0.55615,0.90368,1.07273,0.008548,0.008548,0.008548
46,1614.25,0.72271,1.33833,1.12898,0.74093,0.74762,0.81178,0.70287,0.54611,0.86583,1.05966,0.008515,0.008515,0.008515
47,1649.1,0.7204,1.33294,1.12885,0.73341,0.74833,0.80629,0.70039,0.54193,0.88285,1.06057,0.008482,0.008482,0.008482
48,1683.21,0.71315,1.30013,1.12542,0.73913,0.72449,0.79685,0.69076,0.54645,0.90038,1.06468,0.008449,0.008449,0.008449
49,1717.56,0.71591,1.32435,1.12404,0.76058,0.72865,0.80489,0.70062,0.53751,0.88205,1.05692,0.008416,0.008416,0.008416
50,1751.53,0.71711,1.30698,1.12777,0.75423,0.72637,0.80729,0.69972,0.542,0.88093,1.06213,0.008383,0.008383,0.008383
51,1785.69,0.7172,1.28971,1.12699,0.76155,0.74455,0.81576,0.70908,0.53961,0.8547,1.05969,0.00835,0.00835,0.00835
52,1820.44,0.71458,1.29396,1.12433,0.75531,0.74846,0.81321,0.70493,0.54498,0.85825,1.06153,0.008317,0.008317,0.008317
53,1854.71,0.71218,1.28089,1.12759,0.7806,0.75595,0.82391,0.7167,0.53855,0.82691,1.05799,0.008284,0.008284,0.008284
54,1889.19,0.70885,1.25968,1.11694,0.76796,0.7607,0.82563,0.71931,0.53578,0.8174,1.05849,0.008251,0.008251,0.008251
55,1936.17,0.70659,1.25063,1.12133,0.75969,0.76053,0.82253,0.71488,0.53672,0.81773,1.06018,0.008218,0.008218,0.008218
56,1975.92,0.70753,1.24707,1.1201,0.77479,0.75752,0.82734,0.72293,0.53125,0.80691,1.05464,0.008185,0.008185,0.008185
57,2010.24,0.71002,1.24982,1.12025,0.7725,0.77598,0.83387,0.729,0.52989,0.78763,1.05045,0.008152,0.008152,0.008152
58,2044.75,0.7025,1.2242,1.11361,0.76916,0.77633,0.83322,0.72702,0.52824,0.79246,1.04987,0.008119,0.008119,0.008119
59,2078.96,0.70092,1.23305,1.11517,0.78745,0.76275,0.83386,0.72819,0.52625,0.78128,1.0502,0.008086,0.008086,0.008086
60,2113.15,0.69165,1.20986,1.10984,0.77195,0.78546,0.83801,0.73239,0.52392,0.76579,1.04903,0.008053,0.008053,0.008053
61,2147.03,0.69269,1.19408,1.10863,0.80398,0.75842,0.83542,0.73104,0.52557,0.77336,1.05036,0.00802,0.00802,0.00802
62,2181.16,0.69505,1.20117,1.11161,0.78849,0.77162,0.8391,0.73545,0.52677,0.76768,1.04886,0.007987,0.007987,0.007987
63,2215.81,0.69407,1.19418,1.10883,0.78481,0.78067,0.83712,0.73432,0.52313,0.76863,1.04774,0.007954,0.007954,0.007954
64,2249.64,0.68892,1.18834,1.1082,0.76027,0.80155,0.83535,0.73257,0.51881,0.76717,1.04661,0.007921,0.007921,0.007921
65,2284.1,0.68958,1.17019,1.1102,0.81085,0.7638,0.84011,0.73646,0.51995,0.75748,1.04562,0.007888,0.007888,0.007888
66,2318.17,0.6881,1.17225,1.10846,0.79502,0.78194,0.84023,0.7354,0.52275,0.75551,1.04879,0.007855,0.007855,0.007855
67,2352.76,0.68676,1.17752,1.11261,0.78731,0.77965,0.84399,0.74049,0.5211,0.74944,1.04615,0.007822,0.007822,0.007822
68,2399.39,0.69186,1.16152,1.11145,0.77672,0.80714,0.8484,0.74425,0.52115,0.74656,1.04584,0.007789,0.007789,0.007789
69,2441.65,0.6826,1.15184,1.10388,0.76209,0.81511,0.84949,0.74332,0.51847,0.74376,1.04354,0.007756,0.007756,0.007756
70,2476.04,0.68795,1.16341,1.10769,0.75909,0.81269,0.84651,0.7428,0.51925,0.74857,1.04428,0.007723,0.007723,0.007723
71,2510.47,0.68568,1.13343,1.10612,0.80156,0.78111,0.85162,0.74622,0.5195,0.72894,1.04577,0.00769,0.00769,0.00769
72,2544.59,0.68451,1.14462,1.10656,0.81255,0.77327,0.84843,0.74442,0.51817,0.74064,1.04574,0.007657,0.007657,0.007657
73,2578.9,0.68814,1.13245,1.10901,0.80799,0.78969,0.84928,0.74757,0.51634,0.73389,1.04374,0.007624,0.007624,0.007624
74,2613.35,0.68338,1.13165,1.10955,0.80064,0.79655,0.84874,0.74695,0.51624,0.73333,1.04358,0.007591,0.007591,0.007591
75,2647.65,0.67149,1.10227,1.09653,0.79889,0.7988,0.8501,0.74714,0.51652,0.72989,1.04318,0.007558,0.007558,0.007558
76,2682.14,0.68356,1.12293,1.10708,0.80599,0.78842,0.85004,0.7475,0.51481,0.73299,1.0409,0.007525,0.007525,0.007525
77,2716.59,0.67551,1.09299,1.09703,0.79773,0.80006,0.8527,0.74886,0.51452,0.73187,1.04138,0.007492,0.007492,0.007492
78,2751.11,0.68197,1.11377,1.10453,0.8152,0.7832,0.85058,0.74723,0.51427,0.73351,1.04094,0.007459,0.007459,0.007459
79,2785.63,0.67362,1.08589,1.10265,0.79569,0.79368,0.85224,0.75023,0.51136,0.72544,1.03951,0.007426,0.007426,0.007426
80,2820.16,0.67236,1.09242,1.09835,0.81021,0.78664,0.85327,0.75097,0.50941,0.72029,1.03865,0.007393,0.007393,0.007393
81,2866.68,0.6712,1.08847,1.09678,0.80004,0.80111,0.85384,0.75317,0.50867,0.7175,1.03636,0.00736,0.00736,0.00736
82,2915.09,0.67054,1.08154,1.09735,0.81642,0.78838,0.85359,0.75297,0.50769,0.72011,1.03518,0.007327,0.007327,0.007327
83,2951.47,0.67174,1.07997,1.09966,0.81252,0.79699,0.85624,0.75519,0.50736,0.71345,1.03572,0.007294,0.007294,0.007294
84,2986.3,0.66869,1.08218,1.09793,0.81704,0.79237,0.85745,0.75465,0.5083,0.71157,1.03604,0.007261,0.007261,0.007261
85,3020.52,0.67033,1.06851,1.09648,0.82141,0.78657,0.85837,0.75607,0.50865,0.71183,1.03605,0.007228,0.007228,0.007228
86,3055,0.66894,1.05453,1.09638,0.81304,0.79957,0.85847,0.75652,0.50905,0.71071,1.03637,0.007195,0.007195,0.007195
87,3089.18,0.66601,1.04479,1.09594,0.8075,0.80222,0.85952,0.75763,0.50752,0.70938,1.03576,0.007162,0.007162,0.007162
88,3123.77,0.66215,1.05279,1.09085,0.81403,0.79918,0.85989,0.75891,0.50688,0.70646,1.03559,0.007129,0.007129,0.007129
89,3158.18,0.66418,1.05451,1.09422,0.80705,0.80468,0.8606,0.75988,0.50487,0.70384,1.03395,0.007096,0.007096,0.007096
90,3192.86,0.6629,1.04454,1.0951,0.81525,0.80558,0.86261,0.76166,0.50396,0.70102,1.03393,0.007063,0.007063,0.007063
91,3227.19,0.66612,1.03649,1.0955,0.80829,0.81008,0.86388,0.76265,0.50361,0.69874,1.034,0.00703,0.00703,0.00703
92,3261.25,0.65656,1.03261,1.09024,0.81508,0.81417,0.86484,0.76402,0.50416,0.69698,1.03504,0.006997,0.006997,0.006997
93,3295.73,0.65729,1.01447,1.08989,0.82786,0.80488,0.86482,0.76437,0.50303,0.69539,1.03483,0.006964,0.006964,0.006964
94,3330.23,0.65882,1.02819,1.09218,0.82016,0.81311,0.86595,0.76479,0.50261,0.69104,1.03422,0.006931,0.006931,0.006931
95,3376.71,0.66452,1.03738,1.09272,0.81646,0.81527,0.86556,0.76506,0.50273,0.69217,1.03461,0.006898,0.006898,0.006898
96,3424.46,0.66167,1.03576,1.09444,0.82217,0.8116,0.86572,0.76488,0.50358,0.69178,1.03552,0.006865,0.006865,0.006865
97,3462.47,0.65475,1.00857,1.09148,0.824,0.81131,0.86639,0.76585,0.50443,0.69199,1.03624,0.006832,0.006832,0.006832
98,3496.54,0.658,1.01105,1.09068,0.8227,0.81213,0.86661,0.76637,0.50395,0.69148,1.03653,0.006799,0.006799,0.006799
99,3530.94,0.65735,1.01596,1.09291,0.81929,0.81344,0.86726,0.76609,0.50317,0.69221,1.03647,0.006766,0.006766,0.006766
100,3564.9,0.65224,1.00227,1.0871,0.82448,0.8131,0.8679,0.76766,0.50363,0.69034,1.03783,0.006733,0.006733,0.006733
101,3599.24,0.65152,0.99421,1.08415,0.815,0.82197,0.86801,0.76702,0.50312,0.68978,1.03831,0.0067,0.0067,0.0067
102,3633.57,0.64841,0.99063,1.08443,0.82428,0.81319,0.868,0.76745,0.50295,0.68968,1.03813,0.006667,0.006667,0.006667
103,3667.74,0.64518,0.98742,1.08464,0.81733,0.8191,0.86778,0.76724,0.50243,0.68922,1.03748,0.006634,0.006634,0.006634
104,3702.29,0.65488,0.99415,1.08531,0.81916,0.81729,0.8677,0.76657,0.50213,0.68901,1.03744,0.006601,0.006601,0.006601
105,3736.41,0.65234,0.98208,1.08843,0.82302,0.8157,0.86827,0.76766,0.50138,0.68907,1.03691,0.006568,0.006568,0.006568
106,3770.89,0.63927,0.97571,1.08026,0.82031,0.8175,0.86791,0.76708,0.50097,0.6891,1.03685,0.006535,0.006535,0.006535
107,3805.2,0.64444,0.98719,1.08184,0.81836,0.82261,0.86727,0.7657,0.50114,0.68879,1.03749,0.006502,0.006502,0.006502
108,3839.8,0.64806,0.98307,1.08637,0.82497,0.81908,0.86789,0.76604,0.50091,0.68789,1.0379,0.006469,0.006469,0.006469
109,3873.95,0.6469,0.96995,1.08336,0.82401,0.8181,0.86773,0.76678,0.50075,0.68628,1.03804,0.006436,0.006436,0.006436
110,3920.61,0.638,0.95869,1.07619,0.82225,0.8176,0.86785,0.7675,0.50015,0.68497,1.03769,0.006403,0.006403,0.006403
111,3967.62,0.64582,0.96745,1.08364,0.81828,0.82106,0.86788,0.76792,0.49986,0.68531,1.03731,0.00637,0.00637,0.00637
112,4005.91,0.6403,0.966,1.08278,0.81965,0.81763,0.86802,0.76794,0.49934,0.68537,1.03668,0.006337,0.006337,0.006337
113,4039.95,0.64514,0.95647,1.08219,0.82271,0.81367,0.86814,0.76787,0.49932,0.68465,1.03652,0.006304,0.006304,0.006304
114,4074.35,0.63321,0.94582,1.07762,0.81245,0.82305,0.86793,0.76765,0.4996,0.68471,1.03668,0.006271,0.006271,0.006271
115,4108.44,0.639,0.93962,1.07531,0.81676,0.82236,0.86851,0.76814,0.49935,0.68456,1.03645,0.006238,0.006238,0.006238
116,4142.62,0.6362,0.93557,1.07676,0.81671,0.82087,0.86935,0.7698,0.49903,0.6837,1.036,0.006205,0.006205,0.006205
117,4177,0.64628,0.94737,1.08119,0.82408,0.81502,0.86955,0.7703,0.49877,0.68337,1.03578,0.006172,0.006172,0.006172
118,4211.01,0.63651,0.93652,1.07837,0.82668,0.81376,0.8694,0.7697,0.49858,0.68315,1.03564,0.006139,0.006139,0.006139
119,4245.12,0.64089,0.9433,1.07931,0.82561,0.81318,0.86959,0.77009,0.49847,0.68306,1.03563,0.006106,0.006106,0.006106
120,4279.15,0.64393,0.93774,1.08556,0.82785,0.80985,0.86899,0.76941,0.49802,0.68352,1.03535,0.006073,0.006073,0.006073
121,4313.82,0.63499,0.93656,1.07453,0.82825,0.80858,0.86893,0.76919,0.49787,0.68267,1.03522,0.00604,0.00604,0.00604
122,4347.85,0.63949,0.93925,1.0805,0.83193,0.80712,0.86936,0.7693,0.4978,0.68228,1.03519,0.006007,0.006007,0.006007
123,4382.46,0.63343,0.92364,1.07533,0.83395,0.8042,0.86928,0.76979,0.49753,0.68218,1.03497,0.005974,0.005974,0.005974
124,4416.67,0.62803,0.91029,1.07508,0.834,0.80259,0.86928,0.76991,0.49751,0.68166,1.03494,0.005941,0.005941,0.005941
125,4450.99,0.6308,0.92319,1.07771,0.83446,0.80308,0.86936,0.77009,0.49715,0.68109,1.03458,0.005908,0.005908,0.005908
126,4484.87,0.63251,0.91334,1.07567,0.8347,0.80407,0.86949,0.77014,0.49697,0.68,1.03437,0.005875,0.005875,0.005875
127,4519.49,0.62662,0.90946,1.0742,0.83618,0.80326,0.86992,0.77059,0.49698,0.67957,1.03425,0.005842,0.005842,0.005842
128,4553.76,0.62811,0.91484,1.07338,0.83685,0.80334,0.86988,0.77087,0.49672,0.67978,1.03417,0.005809,0.005809,0.005809
129,4587.77,0.63126,0.90594,1.07458,0.83651,0.80423,0.87043,0.77087,0.49657,0.67918,1.0342,0.005776,0.005776,0.005776
130,4622.14,0.62772,0.90927,1.07308,0.83664,0.80368,0.87067,0.7718,0.49639,0.67843,1.03411,0.005743,0.005743,0.005743
131,4656.26,0.62446,0.89439,1.07091,0.83628,0.80403,0.87063,0.7721,0.49636,0.67795,1.03431,0.00571,0.00571,0.00571
132,4690.5,0.61954,0.88053,1.0627,0.83658,0.80401,0.87076,0.77207,0.49633,0.67755,1.03441,0.005677,0.005677,0.005677
133,4724.48,0.62406,0.90222,1.07211,0.83305,0.80588,0.87061,0.77231,0.49639,0.67747,1.03458,0.005644,0.005644,0.005644
134,4758.85,0.6304,0.90255,1.07685,0.82884,0.80739,0.87049,0.77241,0.49638,0.67689,1.03464,0.005611,0.005611,0.005611
135,4792.82,0.62157,0.88604,1.07177,0.83078,0.8059,0.87043,0.77254,0.49615,0.6768,1.03453,0.005578,0.005578,0.005578
136,4827.23,0.62682,0.89012,1.07257,0.83089,0.80735,0.87067,0.77289,0.49599,0.67611,1.03441,0.005545,0.005545,0.005545
137,4872.71,0.61895,0.87192,1.06677,0.83227,0.80578,0.87098,0.77286,0.49587,0.67593,1.03429,0.005512,0.005512,0.005512
138,4921.06,0.62162,0.87848,1.06829,0.83269,0.80533,0.8709,0.77271,0.49577,0.67607,1.03445,0.005479,0.005479,0.005479
139,4960.9,0.62088,0.8819,1.07033,0.83366,0.80548,0.87091,0.77287,0.49566,0.67589,1.03437,0.005446,0.005446,0.005446
140,4995,0.62027,0.87547,1.06988,0.82589,0.80937,0.87069,0.77223,0.49575,0.67609,1.03449,0.005413,0.005413,0.005413
141,5029.4,0.61178,0.86294,1.06494,0.8281,0.8084,0.87069,0.77218,0.49558,0.67599,1.03443,0.00538,0.00538,0.00538
142,5063.44,0.61815,0.88472,1.06807,0.83082,0.80576,0.87044,0.77201,0.49555,0.67601,1.03455,0.005347,0.005347,0.005347
143,5097.65,0.61661,0.87024,1.0663,0.83086,0.80628,0.87054,0.77249,0.49528,0.67595,1.03451,0.005314,0.005314,0.005314
144,5131.51,0.61892,0.87872,1.07016,0.8329,0.80476,0.8705,0.77263,0.49524,0.67601,1.03462,0.005281,0.005281,0.005281
145,5165.8,0.61571,0.86694,1.06384,0.83223,0.80563,0.87067,0.77374,0.49502,0.67626,1.03452,0.005248,0.005248,0.005248
146,5200,0.61297,0.85669,1.06413,0.83056,0.80684,0.8709,0.77324,0.49483,0.67619,1.03451,0.005215,0.005215,0.005215
147,5234.66,0.61261,0.8689,1.06757,0.83073,0.80899,0.87092,0.77326,0.49485,0.67603,1.03447,0.005182,0.005182,0.005182
148,5268.79,0.61609,0.86362,1.07126,0.83035,0.80722,0.87073,0.77327,0.49481,0.67593,1.03447,0.005149,0.005149,0.005149
149,5303.18,0.61118,0.85359,1.06482,0.82954,0.80777,0.87052,0.77357,0.49467,0.67554,1.03431,0.005116,0.005116,0.005116
150,5337.18,0.60936,0.85473,1.0619,0.83167,0.80697,0.87108,0.77371,0.49465,0.67559,1.03432,0.005083,0.005083,0.005083
151,5371.78,0.60493,0.83845,1.05608,0.83465,0.80456,0.87052,0.77319,0.4947,0.67568,1.0343,0.00505,0.00505,0.00505
152,5406.02,0.61319,0.84575,1.06452,0.83503,0.80383,0.87032,0.77282,0.49469,0.67549,1.0342,0.005017,0.005017,0.005017
153,5440.05,0.60561,0.83967,1.0625,0.83642,0.80322,0.87008,0.77253,0.49462,0.67566,1.03414,0.004984,0.004984,0.004984
154,5474.26,0.61011,0.8412,1.06355,0.83716,0.80263,0.87058,0.77249,0.49445,0.67569,1.03396,0.004951,0.004951,0.004951
155,5508.27,0.60754,0.83607,1.06071,0.83807,0.80108,0.87037,0.77235,0.49441,0.67545,1.03402,0.004918,0.004918,0.004918
156,5542.59,0.60516,0.83638,1.06129,0.83841,0.80089,0.87031,0.77159,0.49435,0.67565,1.03403,0.004885,0.004885,0.004885
157,5576.76,0.60752,0.82572,1.06232,0.83679,0.80226,0.87029,0.77177,0.49419,0.67599,1.03393,0.004852,0.004852,0.004852
158,5611.13,0.60601,0.83304,1.06207,0.83832,0.8009,0.87048,0.77213,0.49409,0.67584,1.03385,0.004819,0.004819,0.004819
159,5645.29,0.60166,0.82398,1.0605,0.83901,0.80124,0.87015,0.77199,0.49405,0.6755,1.03377,0.004786,0.004786,0.004786
160,5679.76,0.59727,0.81088,1.05625,0.83632,0.80318,0.8703,0.77235,0.49397,0.6752,1.03366,0.004753,0.004753,0.004753
161,5714.08,0.59911,0.81418,1.05697,0.83761,0.80402,0.87081,0.7729,0.4938,0.67498,1.03355,0.00472,0.00472,0.00472
162,5748.2,0.60104,0.82971,1.05815,0.83496,0.80629,0.87106,0.77341,0.49361,0.67441,1.03338,0.004687,0.004687,0.004687
163,5782.74,0.60072,0.81596,1.05972,0.83176,0.80857,0.87032,0.77276,0.49351,0.67408,1.03324,0.004654,0.004654,0.004654
164,5816.76,0.60612,0.82016,1.06518,0.8312,0.80835,0.87055,0.77276,0.49331,0.6736,1.03314,0.004621,0.004621,0.004621
165,5850.9,0.60412,0.82395,1.05862,0.83008,0.8101,0.87021,0.77247,0.49324,0.67362,1.03303,0.004588,0.004588,0.004588
166,5885.2,0.59917,0.80704,1.05673,0.83145,0.80939,0.87059,0.77288,0.49322,0.67358,1.03299,0.004555,0.004555,0.004555
167,5919.73,0.59422,0.81214,1.05532,0.83199,0.80937,0.87047,0.77301,0.49297,0.67312,1.03277,0.004522,0.004522,0.004522
168,5953.79,0.59835,0.81661,1.05686,0.83147,0.81024,0.87067,0.77289,0.49283,0.67292,1.03262,0.004489,0.004489,0.004489
169,5988.51,0.59558,0.80792,1.05538,0.83275,0.80942,0.8708,0.77284,0.49265,0.67247,1.03245,0.004456,0.004456,0.004456
170,6022.54,0.59187,0.8003,1.05199,0.83315,0.80802,0.87073,0.77278,0.49257,0.67222,1.03224,0.004423,0.004423,0.004423
171,6056.64,0.59219,0.80575,1.05083,0.83541,0.80607,0.87074,0.77295,0.49255,0.67178,1.03216,0.00439,0.00439,0.00439
172,6090.59,0.58894,0.79562,1.05117,0.83285,0.80715,0.87097,0.77334,0.49236,0.6719,1.03211,0.004357,0.004357,0.004357
173,6124.85,0.59162,0.79214,1.05178,0.83136,0.80836,0.87083,0.77314,0.49224,0.67166,1.03201,0.004324,0.004324,0.004324
174,6158.83,0.59662,0.80501,1.05429,0.82668,0.81302,0.87079,0.77301,0.49213,0.67125,1.03204,0.004291,0.004291,0.004291
175,6192.84,0.59291,0.79242,1.05249,0.82574,0.81357,0.87104,0.77314,0.49218,0.67071,1.03199,0.004258,0.004258,0.004258
176,6227.02,0.58269,0.78011,1.04639,0.8221,0.818,0.871,0.77312,0.49211,0.67079,1.03192,0.004225,0.004225,0.004225
177,6260.86,0.59593,0.7968,1.05968,0.82169,0.81735,0.87081,0.77278,0.49212,0.67069,1.03195,0.004192,0.004192,0.004192
178,6295.42,0.59238,0.79471,1.0547,0.82595,0.80974,0.87079,0.77305,0.49205,0.67111,1.03185,0.004159,0.004159,0.004159
179,6329.59,0.5816,0.77357,1.04692,0.8271,0.81061,0.87122,0.77338,0.49196,0.67126,1.03166,0.004126,0.004126,0.004126
180,6363.85,0.59054,0.78381,1.05195,0.83111,0.80722,0.8715,0.77413,0.49187,0.6713,1.03164,0.004093,0.004093,0.004093
181,6397.81,0.58785,0.78031,1.05473,0.83279,0.8069,0.87125,0.77392,0.49192,0.6714,1.03166,0.00406,0.00406,0.00406
182,6432.1,0.58124,0.77949,1.04619,0.83271,0.80721,0.87147,0.77436,0.49176,0.67144,1.03154,0.004027,0.004027,0.004027
